"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CODE-ARDUINO";"DATASHEET";"DESCRIPTION";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"HEIGHT";"MANUFACTURER";"MANUFACTURER-PN";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PRICE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"TP_SIGNAL_NAME";"VALUE";
"1";"SPBTLE-RF";"SPBTLE-RF";"XCVR_SPBTLE-RF";"IC7";"Very low power module for Bluetooth Smart v4.1";"Unavailable";"";"";" Very low power module for Bluetooth Smart v4.1 ";"";"";"";"";"";"";"";"STMicroelectronics";"";"";"SPBTLE-RF";"SMD-11 STMicroelectronics";"None";"";"";"";"";
"1";"SRN6045-150M";"SRN6045-150M";"SRN6045_1";"L1";"Power Inductor semi-shielded SMD 15uH Bourns SRN6045 Series Shielded Wire-wound SMD Inductor with a Ferrite Core, 15 uH +/-20% Wire-Wound 2.3A Idc";"";"";"";"Power Inductor semi-shielded SMD 15uH Bourns SRN6045 Series Shielded Wire-wound SMD Inductor with a Ferrite Core, 15 uH +/-20% Wire-Wound 2.3A Idc";"";"";"mm";"";"";"Bourns";"SRN6045-150M";"";"652-SRN6045-150M";"https://www.mouser.com/Search/Refine.aspx?Keyword=652-SRN6045-150M";"";"";"";"";"";"";"";
"1";"SRU1048-4R7Y";"SRU1048-4R7Y";"SRU10484R7Y";"L2";"Inductor Power Shielded Wirewound 4.7uH 30% 100KHz 12Q-Factor Ferrite 5.5A 9.5mOhm DCR T/R";"";"";"";"Inductor Power Shielded Wirewound 4.7uH 30% 100KHz 12Q-Factor Ferrite 5.5A 9.5mOhm DCR T/R";"";"";"5.1mm";"";"";"Bourns";"SRU1048-4R7Y";"";"652-SRU1048-4R7Y";"https://www.mouser.com/Search/Refine.aspx?Keyword=652-SRU1048-4R7Y";"";"";"";"";"";"";"";
"1";"SS13FL";"SS13FL";"SODFL3617X108N";"D1";"Schottky Diodes & Rectifiers 30V, 1A SCHOTTKY";"";"";"";"Schottky Diodes & Rectifiers 30V, 1A SCHOTTKY";"";"";"1.08mm";"";"";"Fairchild Semiconductor";"SS13FL";"";"512-SS13FL";"https://www.mouser.com/Search/Refine.aspx?Keyword=512-SS13FL";"";"";"";"";"";"";"";
"1";"TJA1048TK,118";"TJA1048TK,118";"SON65P300X450X100-15N";"IC9";"CAN Interface IC Dual high-speed CAN transceiver with Standby mode";"";"";"";"CAN Interface IC Dual high-speed CAN transceiver with Standby mode";"";"";"1mm";"";"";"Nexperia";"TJA1048TK,118";"";"771-TJA1048TK118";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-TJA1048TK118";"";"";"";"";"";"";"";
"1";"TL4100AF120QG";"TL4100AF120QG";"TL4100AF120QG";"S1";"Tactile Switches Right Angle Edge Mounted Tact Switch";"";"";"";"Tactile Switches Right Angle Edge Mounted Tact Switch";"";"";"2mm";"";"";"E-Switch";"TL4100AF120QG";"";"612-TL4100AF120QG";"https://www.mouser.com/Search/Refine.aspx?Keyword=612-TL4100AF120QG";"";"";"";"";"";"";"";
"12";"TPB1,27";"TPB1,27";"B1,27";"TP3V3, TP3V8, TP5V, TP_1V8, TP_MDCD, TP_MPWR_ON, TP_MRST, TP_MRX, TP_MTX, TP_MUSBN, TP_MUSBP, TP_MVUSB";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPS54232D";"TPS54232D";"SOIC127P600X175-8N";"IC4";"TPS54232D, Switching Regulator, Buck Controller, 2A, Adjustable, Minimum of 0.8 V, 1200 kHz, 8-Pin SOIC";"";"";"";"TPS54232D, Switching Regulator, Buck Controller, 2A, Adjustable, Minimum of 0.8 V, 1200 kHz, 8-Pin SOIC";"";"";"1.75mm";"";"";"Texas Instruments";"TPS54232D";"";"595-TPS54232D";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-TPS54232D";"";"";"";"";"";"";"";
"1";"TPS563231DRLR";"TPS563231DRLR";"SOTFL50P160X60-6N";"IC5";"4.5-V to 17-V input, 3-A synchronous step-down voltage regulator";"";"";"";"4.5-V to 17-V input, 3-A synchronous step-down voltage regulator";"";"";"0.6mm";"";"";"Texas Instruments";"TPS563231DRLR";"";"595-TPS563231DRLR";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-TPS563231DRLR";"";"";"";"";"";"";"";
"1";"W25Q16JVZPIQ";"W25Q16JVZPIQ";"SON127P600X500X80-9N";"IC8";"IC FLASH 16MBIT 133MHZ 8WSON";"";"";"";"IC FLASH 16MBIT 133MHZ 8WSON";"";"";"0.8mm";"";"";"Winbond";"W25Q16JVZPIQ";"";"454-W25Q16JVZPIQ";"https://www.mouser.com/Search/Refine.aspx?Keyword=454-W25Q16JVZPIQ";"";"";"";"";"";"";"";
